ID,Sex,Habitat Type,Ave_Nares (mm)
1603-78773,F,Oak,22.11
1603-78776,M,Oak,24.67
1603-78779,F,Oak,20.96
1603-78782,F,Oak,20.98
1603-78785,F,Oak,23.79
1603-78786,F,Oak,24.83
1603-78799,F,Oak,23.66
1603-78800,F,Oak,23.76
1603-79101,F,Oak,24.52
1603-79105,F,Oak,23.76
1603-79106,M,Oak,24.35
1603-79114,F,Oak,22.27
1603-79115,F,Oak,23.55
1603-79130,F,Oak,23.39
1603-79131,M,Oak,25.79
1603-79132,F,Oak,22.98
1603-79133,F,Oak,23.98
1603-79136,F,Oak,22.56
1603-79142,M,Oak,24.62
1603-79144,M,Oak,24.9
1603-79145,M,Oak,26.23
1603-79150,M,Oak,24.39
1603-79151,F,Oak,21.32
1603-79152,M,Oak,24.08
1603-79153,F,Oak,23.28
1603-79154,M,Oak,22.84
1603-79155,F,Oak,22.2
1603-79157,F,Oak,23.22
1603-79158,F,Oak,21.6
1603-79159,M,Oak,24.13
1603-79160,F,Oak,20.69
1603-79161,M,Oak,24.05
1603-79162,M,Oak,25.38
1603-79163,M,Oak,25.41
1603-79164,M,Oak,24.83
1603-79168,M,Oak,23.73
1603-79171,M,Oak,24.87
1603-79174,F,Oak,23.39
1603-79192,M,Oak,23.4
1603-79193,M,Oak,23.77
1603-79194,F,Oak,23.09
1603-79198,F,Oak,22.85
1603-79203,F,Oak,22.49
1603-79218,M,Oak,26.25
1603-79232,M,Oak,25.03
1603-79236,M,Oak,27.59
1603-79252,F,Oak,24.56
1603-79259,F,Oak,21.79
1603-79260,F,Oak,23.16
1603-79261,M,Oak,26.19
1603-79263,M,Oak,24.68
1603-79264,F,Oak,21.12
1603-79268,M,Oak,23.58
1603-79270,M,Oak,25.74
1603-79271,F,Oak,21.14
1603-79275,F,Oak,21.62
1603-79276,M,Oak,24.93
1603-79282,M,Oak,23.19
1603-79294,M,Oak,23.35
1603-79295,F,Oak,23.83
1603-79296,M,Oak,23.81
1603-79297,M,Oak,23.33
1603-79298,F,Oak,22.55
1603-79301,M,Oak,25.32
1603-79302,F,Oak,22.52
1603-79303,M,Oak,25
1603-79304,M,Oak,26.13
1603-79305,F,Oak,23.3
1603-79308,F,Oak,24.03
1603-79311,F,Oak,20.97
1603-79313,F,Oak,22.37
1603-79314,F,Oak,21.67
1603-79315,F,Oak,23.32
1603-79322,F,Oak,24.43
1603-79324,F,Oak,23.69
1603-79326,M,Oak,24.06
1603-79327,F,Oak,23.04
1603-79329,F,Oak,23
1603-79330,M,Oak,25.26
1603-79331,F,Oak,23.32
1603-79332,F,Oak,22.3
1603-79338,F,Oak,22
1603-79339,F,Oak,21.73
1603-79348,F,Oak,21.9
1603-79350,F,Oak,23.93
1603-79354,F,Oak,21.71
1603-79356,F,Oak,21.56
1603-79392,M,Oak,24.5
1703-24635,M,Oak,24.46
1703-64410,F,Oak,23.29
1703-64443,F,Oak,20.13
1703-64449,M,Oak,24.62
1703-64450,M,Oak,23.99
1703-64451,M,Oak,24.6
1703-64459,M,Oak,25.04
1703-64474,M,Oak,23.01
1703-64490,M,Oak,24.45
1703-64494,M,Oak,25.14
1703-64495,M,Oak,25.67
1703-64497,M,Oak,25.65
1703-64506,M,Oak,25.69
1703-64517,M,Oak,23.97
1703-64521,F,Oak,22.77
1703-64528,M,Oak,25.83
1703-64534,M,Oak,24.13
1703-64536,M,Oak,23.85
1703-64547,F,Oak,21.83
1703-64550,M,Oak,25.87
1703-64551,M,Oak,23.54
1703-64560,M,Oak,24.46
1703-64562,M,Oak,23.57
1703-64570,M,Oak,24.1
1703-64577,M,Oak,25.77
1703-64587,M,Oak,24.99
1703-64588,M,Oak,23.85
1703-64590,M,Oak,26.43
1703-64594,M,Oak,24.85
1703-64598,M,Oak,23.54
1703-64607,M,Oak,24.24
1703-64608,M,Oak,23.76
1703-64614,M,Oak,25.91
1703-64617,M,Oak,26.03
1703-64618,M,Oak,24.48
1703-64620,M,Oak,24.93
1703-64621,M,Oak,25.85
1703-64625,F,Oak,23.93
1703-64626,M,Oak,24.3
1703-64630,M,Oak,25.8
1703-64661,M,Oak,24.64
1703-64668,M,Oak,24.64
1703-64669,M,Oak,22.48
1703-64680,M,Oak,25.71
1703-64683,M,Oak,24.44
1703-64685,F,Oak,24.08
1703-64689,F,Oak,22.4
1713-24902,M,Oak,24.74
1713-24906,F,Oak,25.34
1713-24910,F,Oak,22.35
1713-24911,F,Oak,23.32
1713-24912,F,Oak,23.29
1713-24915,F,Oak,24.6
1713-24916,F,Oak,26.44
1713-24918,F,Oak,21.95
1713-24927,F,Oak,22.5
1713-24938,F,Oak,23.54
1713-24972,M,Oak,25.59
1713-24973,M,Oak,24.68
1783-24601,M,Oak,25.38
1783-24602,F,Oak,22.02
1783-24605,M,Oak,24.59
1783-24617,F,Oak,24.44
1783-24619,M,Oak,26.84
1783-24622,F,Oak,20.65
1783-24631,M,Oak,25.89
1783-24639,M,Oak,24.63
1783-24640,M,Oak,25.41
1783-24643,F,Oak,22.2
1783-24648,M,Oak,25.76
1783-24649,M,Oak,23.18
1783-24657,F,Oak,23.22
1783-24667,M,Oak,25.2
1783-24677,M,Oak,25.02
1783-24679,M,Oak,24.49
1783-24697,M,Oak,24.75
1783-24703,M,Oak,25.07
1783-24711,M,Oak,24.99
1783-24755,M,Oak,22.63
1783-24757,F,Oak,23.22
1783-24759,M,Oak,24.39
1783-24760,F,Oak,23.31
1783-24761,M,Oak,24.03
1783-24795,F,Oak,22.45
1783-24798,F,Oak,22.64
1783-24800,M,Oak,26.18
1783-24805,F,Oak,23.69
1783-24815,F,Oak,22.53
1783-24817,M,Oak,23.72
1783-24818,F,Oak,22.11
1783-24819,F,Oak,22.78
1783-24833,M,Oak,26.34
1783-24834,M,Oak,26.17
1783-24842,M,Oak,24.3
1783-24843,F,Oak,23.95
1783-24845,M,Oak,26.52
1783-24846,M,Oak,25.52
1783-24862,M,Oak,25.58
1783-24865,M,Oak,25.58
1783-24866,F,Oak,22.02
1783-24868,M,Oak,25.51
1783-24869,F,Oak,22.96
1783-24877,F,Oak,25.29
1783-24880,M,Oak,26.44
1783-24885,M,Oak,25.4
1783-24888,M,Oak,26.2
1783-24891,M,Oak,26.23
1783-24892,M,Oak,26.38
1783-43402,F,Oak,22.68
1783-43405,F,Oak,23.89
1783-43406,F,Oak,22.99
1783-43407,F,Oak,22.7
1783-43409,F,Oak,22.89
1783-43423,F,Oak,23.32
1783-43432,F,Oak,23.07
1783-43433,F,Oak,21.98
1783-43435,F,Oak,22.99
1783-43436,M,Oak,24.96
1783-43446,M,Oak,24.87
1783-43450,F,Oak,23.21
1783-43457,M,Oak,24.44
1783-43468,F,Oak,21.76
1783-43469,M,Oak,23.33
1783-43476,F,Oak,22.85
1783-43495,M,Oak,24.05
1783-43518,M,Oak,23.79
1783-43524,F,Oak,22.31
1783-43533,F,Oak,23.72
1783-43535,M,Oak,22.79
1783-43536,M,Oak,24.96
1783-43537,F,Oak,21.83
1783-43539,M,Oak,22.64
1783-43556,M,Oak,27.05
1783-43564,F,Oak,21.2
1783-43573,F,Oak,23.84
1783-43574,M,Oak,23.78
1783-62604,M,Oak,24.17
1783-62605,F,Oak,22.94
1783-62608,M,Oak,25.66
1783-62639,M,Oak,23.78
1783-62640,F,Oak,21.33
1783-62642,M,Oak,25.89
1783-62672,F,Oak,20.94
1783-62673,F,Oak,20.04
1783-62675,F,Oak,22.18
1783-62677,F,Oak,22.75
1783-62678,M,Oak,24.95
1783-62679,M,Oak,24.79
1783-62680,M,Oak,24.27
1783-62687,F,Oak,22.73
1783-62691,M,Oak,24.53
1783-62697,F,Oak,23.33
1783-62724,M,Oak,22.98
1783-62794,M,Oak,25.3
1783-62795,F,Oak,22.39
1783-62796,F,Oak,24.24
1783-62798,M,Oak,25.36
1783-62799,F,Oak,22.7
1793-17816,M,Oak,23.72
1793-17817,M,Oak,25.41
1793-17821,M,Oak,24.46
1793-17822,M,Oak,24.76
1793-17823,M,Oak,23.68
1793-17824,M,Oak,25.4
1793-17828,M,Oak,23.22
1793-17871,M,Oak,24.98
1833-00301,M,Oak,23.13
1833-00312,F,Oak,22.82
1833-00343,F,Oak,23.42
1833-00354,F,Oak,22.44
1833-00364,F,Oak,21.12
1833-00365,F,Oak,22.11
1833-00368,F,Oak,21.3
1833-00373,F,Oak,21.06
1833-00374,M,Oak,23.37
1833-00375,M,Oak,25.7
1833-00376,M,Oak,25.13
1833-00380,F,Oak,22.9
1833-00383,F,Oak,22.1
1833-00386,M,Oak,26.2
1833-00387,M,Oak,25.95
1833-00390,M,Oak,25.08
1833-00392,M,Oak,22.7
1833-00397,M,Oak,24.67
1833-00418,F,Oak,23.04
1833-00510,F,Oak,22.58
1833-00511,F,Oak,22.05
1833-00513,M,Oak,25.99
1833-00518,F,Oak,22.3
1833-00522,F,Oak,22.53
1833-00541,F,Oak,21.41
1833-00545,M,Oak,23.93
1833-00551,F,Oak,22.95
1833-00552,M,Oak,25.41
1833-00555,M,Oak,26.31
1833-00556,F,Oak,22.07
1833-00557,F,Oak,22.37
1833-00563,M,Oak,24.44
1833-00564,M,Oak,30.02
1833-00568,F,Oak,21.84
1833-00569,F,Oak,23.65
1833-00572,M,Oak,24.74
1833-00580,F,Oak,22.48
1833-00587,M,Oak,21.72
1833-00600,F,Oak,25.3
1833-00615,M,Oak,24.44
1833-00623,M,Oak,27.68
1833-00624,F,Oak,21.85
1833-00626,F,Oak,22.07
1833-00634,F,Oak,22.56
1833-00648,M,Oak,25.07
1833-00651,M,Oak,23.28
1833-00656,M,Oak,23.74
1833-00659,F,Oak,22.1
1833-00687,M,Oak,23.75
1833-00689,F,Oak,20.71
1893-09013,M,Oak,24.32
1703-64692,F,Pine,27.21
1583-92730,F,Pine,26.87
1603-79357,F,Pine,26.04
1783-62636,F,Pine,25.59
1713-24922,F,Pine,25.52
1783-43593,F,Pine,25.45
1783-24848,F,Pine,25.41
1783-43578,F,Pine,25.34
1603-79336,F,Pine,24.55
1603-79364,F,Pine,24.98
1833-00503,F,Pine,24.51
1713-24904,F,Pine,24.95
1583-92746,F,Pine,24.64
1833-00514,F,Pine,24.61
1833-00533,F,Pine,24.61
1603-79351,F,Pine,24.59
1833-00517,F,Pine,24.58
1833-00316,F,Pine,24.57
1603-79335,F,Pine,23.98
1783-62620,F,Pine,24.48
1783-43579,F,Pine,24.35
1783-62653,F,Pine,24.33
1783-43589,F,Pine,24.25
1833-00543,F,Pine,24.16
1833-00532,F,Pine,24.09
1783-24634,F,Pine,24.01
1783-43594,F,Pine,23.97
1783-62626,F,Pine,23.87
1713-24937,F,Pine,23.86
1603-79323,F,Pine,23.8
1603-78781,F,Pine,23.76
1833-00536,F,Pine,23.69
1713-24931,F,Pine,23.6
1833-00501,F,Pine,23.56
1703-64468,F,Pine,23.53
1793-17834,F,Pine,23.52
1783-62638,F,Pine,23.51
1783-62621,F,Pine,23.36
1833-00602,F,Pine,23.44
1833-00537,F,Pine,23.37
1703-64558,F,Pine,23.33
1713-24934,F,Pine,23.33
1783-62749,F,Pine,23.26
1783-62625,F,Pine,23.19
1703-64475,F,Pine,23.04
1783-24897,F,Pine,23
1833-00310,F,Pine,22.99
1603-79353,F,Pine,22.98
1783-62648,F,Pine,22.97
1783-62666,F,Pine,22.94
1833-00690,F,Pine,22.94
1833-00519,F,Pine,22.93
1833-00682,F,Pine,22.85
1833-00507,F,Pine,22.83
1783-62662,F,Pine,22.76
1603-78790,F,Pine,22.73
1833-00549,F,Pine,22.73
1713-24935,F,Pine,22.7
1783-62644,F,Pine,22.7
1833-00530,F,Pine,22.59
1783-62690,F,Pine,22.56
1783-62660,F,Pine,22.57
1833-00621,F,Pine,22.56
1783-62632,F,Pine,22.46
1783-62656,F,Pine,22.32
1713-24933,F,Pine,22.36
1623-17866,F,Pine,22.29
1783-62669,F,Pine,22.23
1833-00672,F,Pine,22.21
1833-00560,F,Pine,22.16
1703-64479,F,Pine,22.11
1783-62635,F,Pine,22.09
1833-00695,F,Pine,22.04
1833-00683,F,Pine,22.01
1783-62708,F,Pine,21.88
1783-62624,F,Pine,21.54
1833-00679,F,Pine,21.54
1793-17803,F,Pine,21.09
1783-62665,F,Pine,21.04
1783-24875,M,Pine,29.1
1703-64698,M,Pine,28.62
1363-74566,M,Pine,27.04
1703-64461,M,Pine,27.08
1703-64638,M,Pine,27.6
1783-24872,M,Pine,27.6
1703-64507,M,Pine,27.47
1703-64453,M,Pine,26.23
1783-43585,M,Pine,27.23
1703-64629,M,Pine,27.11
1583-92721,M,Pine,27.09
1783-24871,M,Pine,26.99
1703-64477,M,Pine,26.94
1783-24887,M,Pine,26.94
1583-92745,M,Pine,26.93
1603-79117,M,Pine,26.89
1703-64467,M,Pine,26.84
1583-92716,M,Pine,26.83
1833-00684,M,Pine,26.18
1783-24630,M,Pine,25.98
1783-43472,M,Pine,26.4
1833-00502,M,Pine,26.36
1703-64401,M,Pine,26.34
1833-00504,M,Pine,26.33
1793-17831,M,Pine,26.32
1833-00691,M,Pine,25.5
1703-64487,M,Pine,26.21
1783-62754,M,Pine,26.18
1783-62643,M,Pine,26.16
1783-24860,M,Pine,26.1
1703-64631,M,Pine,26.06
1783-43471,M,Pine,25.66
1623-17890,M,Pine,25.85
1783-24827,M,Pine,25.85
1783-62650,M,Pine,25.81
1703-64492,M,Pine,25.8
1623-17879,M,Pine,25.73
1783-43580,M,Pine,25.71
1703-64472,M,Pine,25.69
1703-64493,M,Pine,25.69
1703-64652,M,Pine,25.6
1363-74595,M,Pine,25.65
1783-24870,M,Pine,25.49
1833-00515,M,Pine,25.64
1783-24620,M,Pine,25.61
1783-62629,M,Pine,25.6
1793-17861,M,Pine,25.18
1623-17886,M,Pine,25.56
1793-17837,M,Pine,25.52
1363-74549,M,Pine,24.56
1783-62634,M,Pine,25.48
1833-00561,M,Pine,25.46
1833-00675,M,Pine,25.2
1783-62637,M,Pine,25.39
1783-62630,M,Pine,25.36
1783-62655,M,Pine,25.35
1783-62657,M,Pine,25.33
1793-17835,M,Pine,25.31
1783-62654,M,Pine,25.27
1783-62688,M,Pine,24.93
1833-00696,M,Pine,25.12
1793-17829,M,Pine,25.11
1783-43581,M,Pine,25.07
1783-62627,M,Pine,25.07
1703-64454,M,Pine,25.02
1783-62658,M,Pine,25
1783-62664,M,Pine,25
1703-64460,M,Pine,24.99
1833-00528,M,Pine,24.96
1703-64480,M,Pine,24.87
1833-00547,M,Pine,24.87
1703-64456,M,Pine,24.85
1783-62668,M,Pine,24.85
1833-00539,M,Pine,24.78
1833-00670,M,Pine,24.75
1833-00505,M,Pine,24.67
1833-00603,M,Pine,24.67
1713-24965,M,Pine,24.56
1783-62663,M,Pine,24.5
1783-62670,M,Pine,24.49
1783-62628,M,Pine,24.3
1783-24825,M,Pine,24.29
1783-62622,M,Pine,24.28
1783-62631,M,Pine,24.25
1833-00548,M,Pine,24.22
1783-62623,M,Pine,24.12
1833-00671,M,Pine,23.94
1793-17830,M,Pine,23.62
1783-62651,M,Pine,23.61
1833-00550,M,Pine,23.24
1703-64600,M,Pine,22.97
1833-00559,M,Pine,22.86
